Route,Route Name,Service Type,Operator,Contract ID,Contract Region,Directions,Variant Count,Minimum Distance (km),Maximum Distance (km),Average Distance (km),Data Generated Date,Source URL
001,Central Railway - Moore Park Bus Station,Regular,Transdev John Holland Buses,GSBC009,GSBC Contract 9,Inbound,2,1.65,2.7,2.18,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
31,"Camden to Cut Hill Rd, Cobbitty via Coates Park Rd",Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound; Outbound,3,16.51,19.69,17.73,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
32,Camden to Warragamba via Theresa Park and Werombi,Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound; Outbound,12,21.95,46.74,35.46,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
38,Camden to Spring Creek and Brownlow Hill (Loop Ser,Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound,3,21.57,41.34,29.16,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
39,Camden to The Oaks via Mowbray Park and Belimbla P,Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound; Outbound,3,11.45,44.11,33.02,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
40,Camden to Belimbla Park and Oakdale via The Oaks (,Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound,17,4.53,76.83,42.06,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
49,Camden to Menangle and Razorback (Loop Service),Regular,Transit Systems NSW SW,GSBC002,GSBC Contract 2,Inbound,7,18.31,54.64,33.96,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
52,Parramatta to City Hyde Park via Ryde,Express,Busways North West,GSBC007,GSBC Contract 7,Inbound; Outbound,7,9.88,24.87,18.12,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
80,Liverpool to Parramatta via T-way,Regular,Transit Systems NSW,GSBC003,GSBC Contract 3,Inbound; Outbound,6,6.17,30.71,19.18,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
100,Taronga Zoo to City QVB (Loop Service),Regular,KD Northern Beaches,GSBC008,GSBC Contract 8,Inbound,4,6.39,20.29,15.79,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
